"fecha","encuestadora","muestra","party","percentage_points"
2023-07-27,"Poder Ciudadano",2180,"Avanza",25.8
2023-07-27,"Poder Ciudadano",2180,"Unidad popular",16.7
2023-07-27,"Poder Ciudadano",2180,"Movimiento construye",1.9
2023-07-27,"Poder Ciudadano",2180,"Movimiento Reto",3.7
2023-07-27,"Poder Ciudadano",2180,"Otros - Blanco - Indecisos",12.8
2023-07-27,"Management & Fit​",1800,"Revolucion ciudadana",31.7
2023-07-27,"Management & Fit​",1800,"Avanza",25.7
2023-07-27,"Management & Fit​",1800,"Unidad popular",17
2023-07-27,"Management & Fit​",1800,"Movimiento construye",6.6
2023-07-27,"Management & Fit​",1800,"Movimiento Reto",4.4
2023-07-27,"Management & Fit​",1800,"Otros - Blanco - Indecisos",4.8
2023-07-23,"Penguin",1167,"Revolucion ciudadana",28.5
2023-07-23,"Penguin",1167,"Avanza",21.3
2023-07-23,"Penguin",1167,"Unidad popular",19.1
2023-07-23,"Penguin",1167,"Movimiento construye",0.8
2023-07-23,"Penguin",1167,"Movimiento Reto",1.6
2023-07-23,"Penguin",1167,"Otros - Blanco - Indecisos",15.9
2023-07-25,"Políticos en Redes​",2237,"Revolucion ciudadana",25.2
2023-07-25,"Políticos en Redes​",2237,"Avanza",22.2
2023-07-25,"Políticos en Redes​",2237,"Unidad popular",23
2023-07-25,"Políticos en Redes​",2237,"Movimiento construye",1.8
2023-07-25,"Políticos en Redes​",2237,"Movimiento Reto",2.5
2023-07-25,"Políticos en Redes​",2237,"Otros - Blanco - Indecisos",16.3
2023-07-21,"Federico González & Asociados​",2400,"Revolucion ciudadana",28
2023-07-21,"Federico González & Asociados​",2400,"Avanza",25.2
2023-07-21,"Federico González & Asociados​",2400,"Unidad popular",17.7
2023-07-21,"Federico González & Asociados​",2400,"Movimiento construye",3.2
2023-07-21,"Federico González & Asociados​",2400,"Movimiento Reto",2.4
2023-07-21,"Federico González & Asociados​",2400,"Otros - Blanco - Indecisos",14.5
2023-07-21,"Nueva Comunicación​",1780,"Revolucion ciudadana",28
2023-07-21,"Nueva Comunicación​",1780,"Avanza",20
2023-07-21,"Nueva Comunicación​",1780,"Unidad popular",19
2023-07-21,"Nueva Comunicación​",1780,"Movimiento construye",3
2023-07-21,"Nueva Comunicación​",1780,"Movimiento Reto",4
2023-07-21,"Nueva Comunicación​",1780,"Otros - Blanco - Indecisos",17
2023-07-21,"IESA",1003,"Revolucion ciudadana",20.7
2023-07-21,"IESA",1003,"Avanza",14.7
2023-07-21,"IESA",1003,"Unidad popular",15.9
2023-07-21,"IESA",1003,"Movimiento construye",6
2023-07-21,"IESA",1003,"Movimiento Reto",4.4
2023-07-21,"IESA",1003,"Otros - Blanco - Indecisos",29.3
2023-07-21,"IESA",1003,"Revolucion ciudadana",20.6
2023-07-21,"IESA",1003,"Avanza",9.5
2023-07-21,"IESA",1003,"Unidad popular",18.5
2023-07-21,"IESA",1003,"Movimiento construye",6
2023-07-21,"IESA",1003,"Movimiento Reto",4.4
2023-07-21,"IESA",1003,"Otros - Blanco - Indecisos",31.8
2023-07-21,"IESA",1003,"Revolucion ciudadana",19
2023-07-21,"IESA",1003,"Avanza",14
2023-07-21,"IESA",1003,"Unidad popular",12
2023-07-21,"IESA",1003,"Movimiento construye",3
2023-07-21,"IESA",1003,"Movimiento Reto",4
2023-07-21,"IESA",1003,"Otros - Blanco - Indecisos",41
2023-07-19,"Atlas Intel​",4848,"Revolucion ciudadana",33.8
2023-07-19,"Atlas Intel​",4848,"Avanza",24.8
2023-07-19,"Atlas Intel​",4848,"Unidad popular",20.1
2023-07-19,"Atlas Intel​",4848,"Movimiento construye",3.4
2023-07-19,"Atlas Intel​",4848,"Movimiento Reto",2.6
2023-07-19,"Atlas Intel​",4848,"Otros - Blanco - Indecisos",4.9
2023-07-19,"Atlas Intel​",4848,"Revolucion ciudadana",32.4
2023-07-19,"Atlas Intel​",4848,"Avanza",20
2023-07-19,"Atlas Intel​",4848,"Unidad popular",23.4
2023-07-19,"Atlas Intel​",4848,"Movimiento construye",4.2
2023-07-19,"Atlas Intel​",4848,"Movimiento Reto",4.3
2023-07-19,"Atlas Intel​",4848,"Otros - Blanco - Indecisos",6.1
2023-07-19,"Atlas Intel​",4848,"Revolucion ciudadana",31.9
2023-07-19,"Atlas Intel​",4848,"Avanza",14.5
2023-07-19,"Atlas Intel​",4848,"Unidad popular",25.2
2023-07-19,"Atlas Intel​",4848,"Movimiento construye",4.1
2023-07-19,"Atlas Intel​",4848,"Movimiento Reto",4.1
2023-07-19,"Atlas Intel​",4848,"Otros - Blanco - Indecisos",7.6
2023-07-18,"Opinaia​",2000,"Revolucion ciudadana",22
2023-07-18,"Opinaia​",2000,"Avanza",21
2023-07-18,"Opinaia​",2000,"Unidad popular",22
2023-07-18,"Opinaia​",2000,"Movimiento construye",4
2023-07-18,"Opinaia​",2000,"Movimiento Reto",4
2023-07-18,"Opinaia​",2000,"Otros - Blanco - Indecisos",18
2023-07-12,"UNLaM​",2510,"Revolucion ciudadana",31.4
2023-07-12,"UNLaM​",2510,"Avanza",24.9
2023-07-12,"UNLaM​",2510,"Unidad popular",18.1
2023-07-12,"UNLaM​",2510,"Movimiento construye",1.3
2023-07-12,"UNLaM​",2510,"Movimiento Reto",2
2023-07-12,"UNLaM​",2510,"Otros - Blanco - Indecisos",13.3
2023-07-12,"Equipo_Mide​",2236,"Revolucion ciudadana",27
2023-07-12,"Equipo_Mide​",2236,"Avanza",24
2023-07-12,"Equipo_Mide​",2236,"Unidad popular",26
2023-07-12,"Equipo_Mide​",2236,"Movimiento construye",3
2023-07-12,"Equipo_Mide​",2236,"Movimiento Reto",2
2023-07-12,"Equipo_Mide​",2236,"Otros - Blanco - Indecisos",9
2023-07-11,"Taquion​",2419,"Revolucion ciudadana",25.1
2023-07-11,"Taquion​",2419,"Avanza",20.5
2023-07-11,"Taquion​",2419,"Unidad popular",18
2023-07-11,"Taquion​",2419,"Movimiento construye",3
2023-07-11,"Taquion​",2419,"Movimiento Reto",2.3
2023-07-11,"Taquion​",2419,"Otros - Blanco - Indecisos",22.2
2023-07-07,"Patagonia​",NA,"Revolucion ciudadana",32.3
2023-07-07,"Patagonia​",NA,"Avanza",23.7
2023-07-07,"Patagonia​",NA,"Unidad popular",15.8
2023-07-07,"Patagonia​",NA,"Movimiento construye",3.7
2023-07-07,"Patagonia​",NA,"Movimiento Reto",5.9
2023-07-07,"Patagonia​",NA,"Otros - Blanco - Indecisos",9.6
2023-07-07,"IPD​",1600,"Revolucion ciudadana",32
2023-07-07,"IPD​",1600,"Avanza",27
2023-07-07,"IPD​",1600,"Unidad popular",17
2023-07-07,"IPD​",1600,"Movimiento construye",1
2023-07-07,"IPD​",1600,"Movimiento Reto",4
2023-07-07,"IPD​",1600,"Otros - Blanco - Indecisos",10
2023-07-07,"Opina Argentina​",1404,"Revolucion ciudadana",29
2023-07-07,"Opina Argentina​",1404,"Avanza",21
2023-07-07,"Opina Argentina​",1404,"Unidad popular",22
2023-07-07,"Opina Argentina​",1404,"Movimiento construye",3
2023-07-07,"Opina Argentina​",1404,"Movimiento Reto",4
2023-07-07,"Opina Argentina​",1404,"Otros - Blanco - Indecisos",11
2023-07-06,"Federico González & Asociados​",2400,"Revolucion ciudadana",28.8
2023-07-06,"Federico González & Asociados​",2400,"Avanza",24.8
2023-07-06,"Federico González & Asociados​",2400,"Unidad popular",17.1
2023-07-06,"Federico González & Asociados​",2400,"Movimiento construye",1.9
2023-07-06,"Federico González & Asociados​",2400,"Movimiento Reto",3.4
2023-07-06,"Federico González & Asociados​",2400,"Otros - Blanco - Indecisos",15
2023-07-06,"Zuban Córdoba & Asociados​",1280,"Revolucion ciudadana",27.1
2023-07-06,"Zuban Córdoba & Asociados​",1280,"Avanza",20.7
2023-07-06,"Zuban Córdoba & Asociados​",1280,"Unidad popular",24.5
2023-07-06,"Zuban Córdoba & Asociados​",1280,"Movimiento construye",2.3
2023-07-06,"Zuban Córdoba & Asociados​",1280,"Movimiento Reto",3.5
2023-07-06,"Zuban Córdoba & Asociados​",1280,"Otros - Blanco - Indecisos",12.2
2023-07-05,"Clivajes Consultores​",1570,"Revolucion ciudadana",30.5
2023-07-05,"Clivajes Consultores​",1570,"Avanza",24.9
2023-07-05,"Clivajes Consultores​",1570,"Unidad popular",18.4
2023-07-05,"Clivajes Consultores​",1570,"Movimiento construye",2.6
2023-07-05,"Clivajes Consultores​",1570,"Movimiento Reto",3.4
2023-07-05,"Clivajes Consultores​",1570,"Otros - Blanco - Indecisos",11.2
2023-07-02,"Giacobbe & Asociados​​​",2500,"Revolucion ciudadana",28.2
2023-07-02,"Giacobbe & Asociados​​​",2500,"Avanza",10.8
2023-07-02,"Giacobbe & Asociados​​​",2500,"Unidad popular",28.3
2023-07-02,"Giacobbe & Asociados​​​",2500,"Movimiento construye",1.9
2023-07-02,"Giacobbe & Asociados​​​",2500,"Movimiento Reto",2.5
2023-07-02,"Giacobbe & Asociados​​​",2500,"Otros - Blanco - Indecisos",18
2023-07-02,"Giacobbe & Asociados​​​",2500,"Revolucion ciudadana",28.5
2023-07-02,"Giacobbe & Asociados​​​",2500,"Avanza",24.2
2023-07-02,"Giacobbe & Asociados​​​",2500,"Unidad popular",22.3
2023-07-02,"Giacobbe & Asociados​​​",2500,"Movimiento construye",1
2023-07-02,"Giacobbe & Asociados​​​",2500,"Movimiento Reto",1
2023-07-02,"Giacobbe & Asociados​​​",2500,"Otros - Blanco - Indecisos",13.6
2023-07-02,"Giacobbe & Asociados​​​",2500,"Revolucion ciudadana",28.5
2023-07-02,"Giacobbe & Asociados​​​",2500,"Avanza",23.3
2023-07-02,"Giacobbe & Asociados​​​",2500,"Unidad popular",21.9
2023-07-02,"Giacobbe & Asociados​​​",2500,"Movimiento construye",0.6
2023-07-02,"Giacobbe & Asociados​​​",2500,"Movimiento Reto",1.7
2023-07-02,"Giacobbe & Asociados​​​",2500,"Otros - Blanco - Indecisos",15
2023-06-07,"Marketing & Estadística​",NA,"Revolucion ciudadana",30
2023-06-07,"Marketing & Estadística​",NA,"Avanza",29
2023-06-07,"Marketing & Estadística​",NA,"Unidad popular",20
2023-06-07,"Marketing & Estadística​",NA,"Movimiento construye",2
2023-06-07,"Marketing & Estadística​",NA,"Movimiento Reto",1
2023-06-07,"Marketing & Estadística​",NA,"Otros - Blanco - Indecisos",9
2023-06-30,"Analogías​",2569,"Revolucion ciudadana",32.3
2023-06-30,"Analogías​",2569,"Avanza",23.8
2023-06-30,"Analogías​",2569,"Unidad popular",17.8
2023-06-30,"Analogías​",2569,"Movimiento construye",2.1
2023-06-30,"Analogías​",2569,"Movimiento Reto",1.2
2023-06-30,"Analogías​",2569,"Otros - Blanco - Indecisos",12.7
2023-06-30,"Observatorio Electoral Consultores​",1680,"Revolucion ciudadana",28
2023-06-30,"Observatorio Electoral Consultores​",1680,"Avanza",31
2023-06-30,"Observatorio Electoral Consultores​",1680,"Unidad popular",15
2023-06-30,"Observatorio Electoral Consultores​",1680,"Movimiento construye",2
2023-06-30,"Observatorio Electoral Consultores​",1680,"Movimiento Reto",2
2023-06-30,"Observatorio Electoral Consultores​",1680,"Otros - Blanco - Indecisos",13
2023-06-29,"Opinaia​",1300,"Revolucion ciudadana",24
2023-06-29,"Opinaia​",1300,"Avanza",23
2023-06-29,"Opinaia​",1300,"Unidad popular",19
2023-06-29,"Opinaia​",1300,"Movimiento construye",3
2023-06-29,"Opinaia​",1300,"Movimiento Reto",3
2023-06-29,"Opinaia​",1300,"Otros - Blanco - Indecisos",19
2023-06-28,"Proyección Consultores​",NA,"Revolucion ciudadana",32.8
2023-06-28,"Proyección Consultores​",NA,"Avanza",25.7
2023-06-28,"Proyección Consultores​",NA,"Unidad popular",18.8
2023-06-28,"Proyección Consultores​",NA,"Movimiento construye",0.9
2023-06-28,"Proyección Consultores​",NA,"Movimiento Reto",1.7
2023-06-28,"Proyección Consultores​",NA,"Otros - Blanco - Indecisos",11.1
2023-06-28,"Inteligencia Analítica​",5285,"Revolucion ciudadana",29.5
2023-06-28,"Inteligencia Analítica​",5285,"Avanza",19.1
2023-06-28,"Inteligencia Analítica​",5285,"Unidad popular",25.8
2023-06-28,"Inteligencia Analítica​",5285,"Movimiento construye",3.2
2023-06-28,"Inteligencia Analítica​",5285,"Movimiento Reto",2.5
2023-06-28,"Inteligencia Analítica​",5285,"Otros - Blanco - Indecisos",10.9
2023-06-28,"Inteligencia Analítica​",5285,"Revolucion ciudadana",28.5
2023-06-28,"Inteligencia Analítica​",5285,"Avanza",23.2
2023-06-28,"Inteligencia Analítica​",5285,"Unidad popular",22.1
2023-06-28,"Inteligencia Analítica​",5285,"Movimiento construye",3.6
2023-06-28,"Inteligencia Analítica​",5285,"Movimiento Reto",3.2
2023-06-28,"Inteligencia Analítica​",5285,"Otros - Blanco - Indecisos",10.4
2023-06-28,"Inteligencia Analítica​",5285,"Revolucion ciudadana",29.8
2023-06-28,"Inteligencia Analítica​",5285,"Avanza",25.3
2023-06-28,"Inteligencia Analítica​",5285,"Unidad popular",19.6
2023-06-28,"Inteligencia Analítica​",5285,"Movimiento construye",2.5
2023-06-28,"Inteligencia Analítica​",5285,"Movimiento Reto",2.2
2023-06-28,"Inteligencia Analítica​",5285,"Otros - Blanco - Indecisos",11.6
2023-06-27,"Quito encuestas",2856,"Revolucion ciudadana",29.1
2023-06-27,"Quito encuestas",2856,"Avanza",24.8
2023-06-27,"Quito encuestas",2856,"Unidad popular",17.2
2023-06-27,"Quito encuestas",2856,"Movimiento construye",3.3
2023-06-27,"Quito encuestas",2856,"Movimiento Reto",1.6
2023-06-27,"Quito encuestas",2856,"Otros - Blanco - Indecisos",15
2023-06-16,"Proyección Consultores​",NA,"Revolucion ciudadana",31.2
2023-06-16,"Proyección Consultores​",NA,"Avanza",24.1
2023-06-16,"Proyección Consultores​",NA,"Unidad popular",18.9
2023-06-16,"Proyección Consultores​",NA,"Movimiento construye",NA
2023-06-16,"Proyección Consultores​",NA,"Movimiento Reto",1.7
2023-06-16,"Proyección Consultores​",NA,"Otros - Blanco - Indecisos",15.1
2023-06-14,"Opinaia​",2000,"Revolucion ciudadana",22
2023-06-14,"Opinaia​",2000,"Avanza",20
2023-06-14,"Opinaia​",2000,"Unidad popular",21
2023-06-14,"Opinaia​",2000,"Movimiento construye",6
2023-06-14,"Opinaia​",2000,"Movimiento Reto",1
2023-06-14,"Opinaia​",2000,"Otros - Blanco - Indecisos",20
2023-06-12,"Synopsis​",1663,"Revolucion ciudadana",25
2023-06-12,"Synopsis​",1663,"Avanza",20
2023-06-12,"Synopsis​",1663,"Unidad popular",20
2023-06-12,"Synopsis​",1663,"Movimiento construye",6
2023-06-12,"Synopsis​",1663,"Movimiento Reto",5
2023-06-12,"Synopsis​",1663,"Otros - Blanco - Indecisos",15
2023-06-09,"Taquion​",2520,"Revolucion ciudadana",28.2
2023-06-09,"Taquion​",2520,"Avanza",28.1
2023-06-09,"Taquion​",2520,"Unidad popular",24.3
2023-06-09,"Taquion​",2520,"Movimiento construye",6.7
2023-06-09,"Taquion​",2520,"Movimiento Reto",3.7
2023-06-09,"Taquion​",2520,"Otros - Blanco - Indecisos",0
2023-06-09,"Taquion​",2520,"Revolucion ciudadana",20.7
2023-06-09,"Taquion​",2520,"Avanza",18.3
2023-06-09,"Taquion​",2520,"Unidad popular",17.9
2023-06-09,"Taquion​",2520,"Movimiento construye",4.9
2023-06-09,"Taquion​",2520,"Movimiento Reto",2.7
2023-06-09,"Taquion​",2520,"Otros - Blanco - Indecisos",26.4
2023-06-06,"Management & Fit​",1800,"Revolucion ciudadana",29.5
2023-06-06,"Management & Fit​",1800,"Avanza",24.5
2023-06-06,"Management & Fit​",1800,"Unidad popular",17.1
2023-06-06,"Management & Fit​",1800,"Movimiento construye",9.5
2023-06-06,"Management & Fit​",1800,"Movimiento Reto",3.8
2023-06-06,"Management & Fit​",1800,"Otros - Blanco - Indecisos",3.8
2023-06-06,"Management & Fit​",1800,"Revolucion ciudadana",28.7
2023-06-06,"Management & Fit​",1800,"Avanza",24.7
2023-06-06,"Management & Fit​",1800,"Unidad popular",16.9
2023-06-06,"Management & Fit​",1800,"Movimiento construye",10.5
2023-06-06,"Management & Fit​",1800,"Movimiento Reto",4
2023-06-06,"Management & Fit​",1800,"Otros - Blanco - Indecisos",4.3
2023-06-06,"Management & Fit​",1800,"Revolucion ciudadana",30.1
2023-06-06,"Management & Fit​",1800,"Avanza",23.2
2023-06-06,"Management & Fit​",1800,"Unidad popular",15.3
2023-06-06,"Management & Fit​",1800,"Movimiento construye",7.9
2023-06-06,"Management & Fit​",1800,"Movimiento Reto",4.6
2023-06-06,"Management & Fit​",1800,"Otros - Blanco - Indecisos",9.8
2023-06-07,"Fixer​",NA,"Revolucion ciudadana",27
2023-06-07,"Fixer​",NA,"Avanza",26
2023-06-07,"Fixer​",NA,"Unidad popular",18
2023-06-07,"Fixer​",NA,"Movimiento construye",3
2023-06-07,"Fixer​",NA,"Movimiento Reto",2
2023-06-07,"Fixer​",NA,"Otros - Blanco - Indecisos",13
2023-06-05,"Consultora Tendencias​",2506,"Revolucion ciudadana",22.8
2023-06-05,"Consultora Tendencias​",2506,"Avanza",14.1
2023-06-05,"Consultora Tendencias​",2506,"Unidad popular",19.8
2023-06-05,"Consultora Tendencias​",2506,"Movimiento construye",2.6
2023-06-05,"Consultora Tendencias​",2506,"Movimiento Reto",6.8
2023-06-05,"Consultora Tendencias​",2506,"Otros - Blanco - Indecisos",24.9
2023-06-05,"Aresco​",4000,"Revolucion ciudadana",24.9
2023-06-05,"Aresco​",4000,"Avanza",16.9
2023-06-05,"Aresco​",4000,"Unidad popular",27.7
2023-06-05,"Aresco​",4000,"Movimiento construye",5.8
2023-06-05,"Aresco​",4000,"Movimiento Reto",3
2023-06-05,"Aresco​",4000,"Otros - Blanco - Indecisos",12.7
2023-06-05,"Aresco​",4000,"Revolucion ciudadana",24.2
2023-06-05,"Aresco​",4000,"Avanza",17.5
2023-06-05,"Aresco​",4000,"Unidad popular",24.2
2023-06-05,"Aresco​",4000,"Movimiento construye",5.3
2023-06-05,"Aresco​",4000,"Movimiento Reto",3.6
2023-06-05,"Aresco​",4000,"Otros - Blanco - Indecisos",16.2
2023-06-05,"Aresco​",4000,"Revolucion ciudadana",30.3
2023-06-05,"Aresco​",4000,"Avanza",23.6
2023-06-05,"Aresco​",4000,"Unidad popular",25.5
2023-06-05,"Aresco​",4000,"Movimiento construye",3.3
2023-06-05,"Aresco​",4000,"Movimiento Reto",2.2
2023-06-05,"Aresco​",4000,"Otros - Blanco - Indecisos",6.1
2023-06-05,"Aresco​",4000,"Revolucion ciudadana",27.4
2023-06-05,"Aresco​",4000,"Avanza",20.1
2023-06-05,"Aresco​",4000,"Unidad popular",27.6
2023-06-05,"Aresco​",4000,"Movimiento construye",2.6
2023-06-05,"Aresco​",4000,"Movimiento Reto",1.5
2023-06-05,"Aresco​",4000,"Otros - Blanco - Indecisos",11.8
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Revolucion ciudadana",31.3
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Avanza",20.3
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Unidad popular",23.3
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Movimiento construye",4
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Movimiento Reto",3.1
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Otros - Blanco - Indecisos",9
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Revolucion ciudadana",29
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Avanza",18.2
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Unidad popular",24.6
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Movimiento construye",4.9
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Movimiento Reto",3.3
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Otros - Blanco - Indecisos",11.1
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Revolucion ciudadana",22.8
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Avanza",19.2
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Unidad popular",24.3
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Movimiento construye",5.3
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Movimiento Reto",3.5
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Otros - Blanco - Indecisos",15.8
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Revolucion ciudadana",20.7
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Avanza",18.9
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Unidad popular",24.6
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Movimiento construye",5.6
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Movimiento Reto",3.7
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Otros - Blanco - Indecisos",17.5
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Revolucion ciudadana",26
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Avanza",19.1
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Unidad popular",23.7
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Movimiento construye",5.1
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Movimiento Reto",3.7
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Otros - Blanco - Indecisos",13.4
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Revolucion ciudadana",28.3
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Avanza",19.5
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Unidad popular",23.7
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Movimiento construye",4.1
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Movimiento Reto",3.5
2023-06-01,"Zuban Córdoba & Asociados​",1300,"Otros - Blanco - Indecisos",12
2023-05-31,"Analogías​​​",2605,"Revolucion ciudadana",27.5
2023-05-31,"Analogías​​​",2605,"Avanza",17.8
2023-05-31,"Analogías​​​",2605,"Unidad popular",21.2
2023-05-31,"Analogías​​​",2605,"Movimiento construye",NA
2023-05-31,"Analogías​​​",2605,"Movimiento Reto",2.7
2023-05-31,"Analogías​​​",2605,"Otros - Blanco - Indecisos",21.8
2023-05-28,"Opina Argentina​",1400,"Revolucion ciudadana",29
2023-05-28,"Opina Argentina​",1400,"Avanza",20
2023-05-28,"Opina Argentina​",1400,"Unidad popular",26
2023-05-28,"Opina Argentina​",1400,"Movimiento construye",4
2023-05-28,"Opina Argentina​",1400,"Movimiento Reto",4
2023-05-28,"Opina Argentina​",1400,"Otros - Blanco - Indecisos",8
2023-05-28,"Opina Argentina​",1400,"Revolucion ciudadana",29
2023-05-28,"Opina Argentina​",1400,"Avanza",21
2023-05-28,"Opina Argentina​",1400,"Unidad popular",26
2023-05-28,"Opina Argentina​",1400,"Movimiento construye",NA
2023-05-28,"Opina Argentina​",1400,"Movimiento Reto",4
2023-05-28,"Opina Argentina​",1400,"Otros - Blanco - Indecisos",10
2023-05-28,"Opina Argentina​",1400,"Revolucion ciudadana",27
2023-05-28,"Opina Argentina​",1400,"Avanza",19
2023-05-28,"Opina Argentina​",1400,"Unidad popular",26
2023-05-28,"Opina Argentina​",1400,"Movimiento construye",4
2023-05-28,"Opina Argentina​",1400,"Movimiento Reto",4
2023-05-28,"Opina Argentina​",1400,"Otros - Blanco - Indecisos",10
2023-05-28,"Opina Argentina​",1400,"Revolucion ciudadana",26
2023-05-28,"Opina Argentina​",1400,"Avanza",18
2023-05-28,"Opina Argentina​",1400,"Unidad popular",24
2023-05-28,"Opina Argentina​",1400,"Movimiento construye",4
2023-05-28,"Opina Argentina​",1400,"Movimiento Reto",7
2023-05-28,"Opina Argentina​",1400,"Otros - Blanco - Indecisos",13
2023-05-28,"Opina Argentina​",1400,"Revolucion ciudadana",24
2023-05-28,"Opina Argentina​",1400,"Avanza",17
2023-05-28,"Opina Argentina​",1400,"Unidad popular",24
2023-05-28,"Opina Argentina​",1400,"Movimiento construye",4
2023-05-28,"Opina Argentina​",1400,"Movimiento Reto",7
2023-05-28,"Opina Argentina​",1400,"Otros - Blanco - Indecisos",15
2023-05-26,"UdeSA​​",1000,"Revolucion ciudadana",22.5
2023-05-26,"UdeSA​​",1000,"Avanza",20.5
2023-05-26,"UdeSA​​",1000,"Unidad popular",16.8
2023-05-26,"UdeSA​​",1000,"Movimiento construye",2.7
2023-05-26,"UdeSA​​",1000,"Movimiento Reto",3.3
2023-05-26,"UdeSA​​",1000,"Otros - Blanco - Indecisos",15.5
2023-05-26,"UdeSA​​",1000,"Revolucion ciudadana",16
2023-05-26,"UdeSA​​",1000,"Avanza",12
2023-05-26,"UdeSA​​",1000,"Unidad popular",14
2023-05-26,"UdeSA​​",1000,"Movimiento construye",3
2023-05-26,"UdeSA​​",1000,"Movimiento Reto",4
2023-05-26,"UdeSA​​",1000,"Otros - Blanco - Indecisos",32
